,JPNK FP Equity_DX_SI_QTY,JPNK FP Equity_DX_SHORT_INTEREST_VALUE,JPNK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JPNK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JPNK FP Equity_DX_SI_MV,JPNK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JPNK FP Equity_DX_SUPPLY_SI_QTY,JPNK FP Equity_DX_BROKER_SI_QTY,JPNK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JPNK FP Equity_DX_BROKER_SI_MV_NEW_x,JPNK FP Equity_DX_BROKER_SI_MV_INC_x,JPNK FP Equity_DX_BROKER_SI_QTY_ADD,JPNK FP Equity_DX_BROKER_SI_QTY_NEW,JPNK FP Equity_DX_BROKER_SI_QTY_INC,JPNK FP Equity_DX_BROKER_SI_MV_NEW_y,JPNK FP Equity_DX_BROKER_SI_MV_INC_y,JPNK FP Equity_DX_BROKER_SI_MV_ADD,JPNK FP Equity_DX_BROKER_SI_QTY_DEC,JPNK FP Equity_DX_SUPPLY_SI_MV,JPNK FP Equity_DX_BROKER_SI_MV_DEC,JPNK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JPNK FP Equity_DX_UTILIZATION_QUANTITY,JPNK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JPNK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JPNK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JPNK FP Equity_DX_ACTIVE_UTILIZATION_MV,JPNK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JPNK FP Equity_DX_BROKER_SI_CON_RATIO,JPNK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JPNK FP Equity_DX_DEMAND_SUPPLY_RATIO,JPNK FP Equity_PX_LAST
2014-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.74
2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.95
2014-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.65
2014-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86
2014-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.92
2014-11-25,5000.0,445750.0,3.36,0.29,0.45,445750.0,0.0,5000.0,0.0,,,5000.0,,,,,0.45,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.15
2014-11-26,5000.0,445250.0,3.36,0.29,0.45,445250.0,0.0,5000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,89.05
2014-11-27,5000.0,441500.0,3.24,0.29,0.45,441500.0,0.0,5000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,88.3
2014-11-28,5000.0,446050.0,3.23,0.29,0.44,446050.0,0.0,5000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,89.21
2014-12-01,5000.0,446150.0,3.23,0.29,0.45,446150.0,0.0,5000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,89.23
2014-12-02,5000.0,453650.0,2.94,0.29,0.45,453650.0,0.0,5000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,90.73
