DATE,DKUPL FP Equity_DX_SI_QTY,DKUPL FP Equity_DX_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DKUPL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DKUPL FP Equity_DX_SI_MV,DKUPL FP Equity_DX_DSS,DKUPL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SUPPLY_SI_QTY,DKUPL FP Equity_DX_BROKER_SI_QTY,DKUPL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_x,DKUPL FP Equity_DX_BROKER_SI_MV_INC_x,DKUPL FP Equity_DX_BROKER_SI_QTY_ADD,DKUPL FP Equity_DX_SUPPLY_SI_MV_DEC,DKUPL FP Equity_DX_BROKER_SI_QTY_INC,DKUPL FP Equity_DX_SUPPLY_SI_QTY_DEC,DKUPL FP Equity_DX_BROKER_SI_MV_INC_y,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_y,DKUPL FP Equity_DX_BROKER_SI_MV_ADD,DKUPL FP Equity_DX_SUPPLY_SI_QTY_ADD,DKUPL FP Equity_DX_BROKER_SI_QTY_DEC,DKUPL FP Equity_DX_SUPPLY_SI_MV,DKUPL FP Equity_DX_BROKER_SI_MV_DEC,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DKUPL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_MV,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DKUPL FP Equity_DX_BROKER_SI_CON_RATIO,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DKUPL FP Equity_DX_DEMAND_SUPPLY_RATIO,DKUPL FP Equity_PX_LAST
2012-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9118.72,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9118.72,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9012.69,0.01,0.0,0.0,0.0,0.0,0.0,13.6
2012-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9012.69,0.01,0.0,0.0,0.0,0.0,0.0,13.6
2012-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8953.04,0.01,0.0,0.0,0.0,0.0,0.0,13.51
2012-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8913.28,0.01,0.0,0.0,0.0,0.0,0.0,13.45
2012-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8880.15,0.01,0.0,0.0,0.0,0.0,0.0,13.4
2012-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8953.04,0.01,0.0,0.0,0.0,0.0,0.0,13.51
2012-04-18,163.0,1458.27,0.04,0.08,0.0,0.0,0.0,0.0,163.0,0.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.163,13.5
2012-04-19,326.0,2884.13,0.08,0.14,0.01,0.01,0.0,1442.06,163.0,163.0,1442.06,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.35
2012-04-20,326.0,2938.14,0.08,0.14,0.01,0.0,0.0,1469.07,163.0,163.0,1469.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.6
2012-04-23,326.0,2938.14,0.08,0.13,0.01,0.0,0.0,1469.07,163.0,163.0,1469.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.6
2012-04-24,326.0,2927.33,0.08,0.13,0.01,0.0,0.0,1463.67,163.0,163.0,1463.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.55
2012-04-25,326.0,2927.33,0.08,0.13,0.01,0.0,0.0,1463.67,163.0,163.0,1463.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.55
2012-04-26,326.0,2916.53,0.08,0.14,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-04-27,326.0,2905.73,0.08,0.13,0.01,0.0,0.0,1452.86,163.0,163.0,1452.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.45
2012-04-30,326.0,2907.89,0.08,0.13,0.01,0.0,0.0,1453.95,163.0,163.0,1453.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.46
2012-05-01,326.0,2907.89,0.08,0.14,0.01,0.0,0.0,1453.95,163.0,163.0,1453.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,0.0
2012-05-02,326.0,2910.05,0.08,0.14,0.01,0.0,0.0,1455.03,163.0,163.0,1455.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.47
2012-05-03,326.0,2910.05,0.08,0.15,0.01,0.0,0.0,1455.03,163.0,163.0,1455.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.47
2012-05-04,326.0,2910.05,0.08,0.15,0.01,0.0,0.0,1455.03,163.0,163.0,1455.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.47
2012-05-07,326.0,2894.93,0.08,0.15,0.01,0.0,0.0,1447.46,163.0,163.0,1447.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.4
2012-05-08,326.0,2905.73,0.08,0.15,0.01,0.0,0.0,1452.86,163.0,163.0,1452.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.45
2012-05-09,326.0,2905.73,0.08,0.16,0.01,0.0,0.0,1452.86,163.0,163.0,1452.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.45
2012-05-10,326.0,2905.73,0.08,0.16,0.01,0.0,0.0,1452.86,163.0,163.0,1452.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.45
2012-05-11,326.0,2905.73,0.08,0.18,0.01,0.0,0.0,1452.86,163.0,163.0,1452.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.45
2012-05-14,326.0,2916.53,0.08,0.21,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-15,326.0,2916.53,0.08,0.22,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-16,326.0,2916.53,0.08,0.23,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-17,326.0,2916.53,0.08,0.22,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-18,326.0,2916.53,0.08,0.27,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-21,326.0,2918.69,0.08,0.27,0.01,0.0,0.0,1459.35,163.0,163.0,1459.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.51
2012-05-22,326.0,2916.53,0.08,0.27,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-23,326.0,2916.53,0.08,0.27,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-24,326.0,2916.53,0.08,0.27,0.01,0.0,0.0,1458.27,163.0,163.0,1458.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.5
2012-05-25,326.0,2905.73,0.08,0.27,0.01,0.0,0.0,1452.86,163.0,163.0,1452.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.45
2012-05-28,326.0,2894.93,0.08,0.28,0.01,0.0,0.0,1447.46,163.0,163.0,1447.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.4
2012-05-29,326.0,2884.13,0.08,0.29,0.01,0.0,0.0,1442.06,163.0,163.0,1442.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.35
2012-05-30,326.0,2851.72,0.08,0.27,0.01,0.0,0.0,1425.86,163.0,163.0,1425.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.2
2012-05-31,326.0,2819.31,0.08,0.27,0.01,0.0,0.0,1409.66,163.0,163.0,1409.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.05
2012-06-01,326.0,2810.67,0.08,0.36,0.01,0.0,0.0,1405.34,163.0,163.0,1405.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.01
2012-06-04,326.0,2810.67,0.08,0.4,0.01,0.0,0.0,1405.34,163.0,163.0,1405.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,13.01
2012-06-05,326.0,2786.91,0.08,0.45,0.01,0.0,0.0,1393.45,163.0,163.0,1393.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.326,12.9
2012-06-06,163.0,1415.06,0.04,0.23,0.0,0.0,0.0,1415.06,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.163,13.1
2012-06-07,163.0,1436.66,0.04,0.2,0.0,0.0,0.0,1436.66,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.163,13.3
2012-06-08,163.0,1404.26,0.04,0.2,0.0,0.0,0.0,1404.26,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.163,13.0
2012-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,1000.0,8939.79,0.01,0.0,0.0,0.0,0.0,0.0,13.49
2012-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8939.79,0.01,0.0,0.0,0.0,0.0,0.0,13.49
2012-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8946.42,0.01,0.0,0.0,0.0,0.0,0.0,13.5
2012-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8694.59,0.01,0.0,0.0,0.0,0.0,0.0,13.12
2012-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8721.1,0.01,0.0,0.0,0.0,0.0,0.0,13.16
2012-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8946.42,0.01,0.0,0.0,0.0,0.0,0.0,13.5
2012-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8931.99,0.01,0.0,0.0,0.0,0.0,0.0,12.38
2012-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8665.04,0.01,0.0,0.0,0.0,0.0,0.0,12.01
2012-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8946.42,0.01,0.0,0.0,0.0,0.0,0.0,12.4
2012-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8881.48,0.01,0.0,0.0,0.0,0.0,0.0,12.31
2012-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8766.05,0.01,0.0,0.0,0.0,0.0,0.0,12.15
2012-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8780.48,0.01,0.0,0.0,0.0,0.0,0.0,12.17
2012-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8787.69,0.01,0.0,0.0,0.0,0.0,0.0,12.18
2012-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8794.91,0.01,0.0,0.0,0.0,0.0,0.0,12.19
2012-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8802.12,0.01,0.0,0.0,0.0,0.0,0.0,12.2
2012-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9018.57,0.01,0.0,0.0,0.0,0.0,0.0,12.5
2012-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9018.57,0.01,0.0,0.0,0.0,0.0,0.0,12.5
2012-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9379.31,0.01,0.0,0.0,0.0,0.0,0.0,13.0
2012-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9379.31,0.01,0.0,0.0,0.0,0.0,0.0,13.0
2012-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9162.86,0.01,0.0,0.0,0.0,0.0,0.0,12.7
2012-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9162.86,0.01,0.0,0.0,0.0,0.0,0.0,12.7
2012-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9090.71,0.01,0.0,0.0,0.0,0.0,0.0,12.6
2012-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9307.16,0.01,0.0,0.0,0.0,0.0,0.0,12.9
2012-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9162.86,0.01,0.0,0.0,0.0,0.0,0.0,12.7
2012-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9162.86,0.01,0.0,0.0,0.0,0.0,0.0,12.7
2012-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9379.31,0.01,0.0,0.0,0.0,0.0,0.0,13.0
2012-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9415.38,0.01,0.0,0.0,0.0,0.0,0.0,13.05
2012-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9235.01,0.01,0.0,0.0,0.0,0.0,0.0,12.8
2012-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9256.66,0.01,0.0,0.0,0.0,0.0,0.0,12.83
2012-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9249.44,0.01,0.0,0.0,0.0,0.0,0.0,12.82
2012-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9162.86,0.01,0.0,0.0,0.0,0.0,0.0,12.7
2012-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9170.08,0.01,0.0,0.0,0.0,0.0,0.0,12.71
2012-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9162.86,0.01,0.0,0.0,0.0,0.0,0.0,12.7
2012-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9177.29,0.01,0.0,0.0,0.0,0.0,0.0,12.72
2012-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9018.57,0.01,0.0,0.0,0.0,0.0,0.0,12.5
2012-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8946.42,0.01,0.0,0.0,0.0,0.0,0.0,12.4
2012-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8874.27,0.01,0.0,0.0,0.0,0.0,0.0,12.3
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8874.27,0.01,0.0,0.0,0.0,0.0,0.0,12.3
2012-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8874.27,0.01,0.0,0.0,0.0,0.0,0.0,12.3
2012-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8802.12,0.01,0.0,0.0,0.0,0.0,0.0,12.2
